City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,limulunga,-15.0969,23.1376,283.44,70,0,1.9,ZM,1690432315
1,dolinsk,47.35,142.8,299.7,55,35,4.53,RU,1690432316
2,ta`u,-14.2336,-169.5144,298.57,76,95,6.84,AS,1690432267
3,west island,-12.1568,96.8225,299.14,73,75,10.29,CC,1690432261
4,sao mateus,-18.7161,-39.8589,291.61,89,4,0.3,BR,1690432318
5,port-aux-francais,-49.35,70.2167,277.76,79,83,15.3,TF,1690432249
6,keflavik,64.0049,-22.5624,282.39,87,0,4.12,IS,1690432319
7,grytviken,-54.2811,-36.5092,274.13,99,100,5.68,GS,1690432245
8,extrema,-22.8547,-46.3183,288.04,56,3,1.85,BR,1690432320
9,hinton,53.4001,-117.5857,283.95,88,100,2.18,CA,1690432320
10,waddan,29.1614,16.139,300.6,51,0,3.93,LY,1690432321
11,remire-montjoly,4.9167,-52.2667,298.17,94,100,0.0,GF,1690432322
12,mahajanga,-15.7167,46.3167,295.16,64,20,3.6,MG,1690432322
13,ilulissat,69.2167,-51.1,280.16,76,0,2.06,GL,1690432323
14,tamanrasset,22.785,5.5228,299.1,13,0,3.09,DZ,1690432323
15,ushuaia,-54.8,-68.3,272.96,69,75,2.57,AR,1690432230
16,callao,-12.0667,-77.15,293.31,77,100,3.09,PE,1690432317
17,bethel,41.3712,-73.414,297.87,81,0,4.12,US,1690432140
18,nelson bay,-32.7167,152.15,294.26,62,0,4.05,AU,1690432326
19,luderitz,-26.6481,15.1594,285.43,64,0,3.0,NA,1690432251
20,yellowknife,62.456,-114.3525,295.44,37,40,3.6,CA,1690432248
21,badiyah,22.45,58.8,302.04,63,76,1.03,OM,1690432327
22,muynoq,43.7683,59.0214,303.55,38,91,2.83,UZ,1690432328
23,nyurba,63.2842,118.3319,296.45,33,56,3.51,RU,1690432329
24,puerto ayora,-0.7393,-90.3518,297.9,93,86,2.24,EC,1690432235
25,bredasdorp,-34.5322,20.0403,281.66,90,0,2.06,ZA,1690432330
26,adamstown,-25.066,-130.1015,292.65,60,28,3.87,PN,1690432241
27,newman,37.3138,-121.0208,302.28,10,0,2.74,US,1690432263
28,hamilton,39.1834,-84.5333,301.58,75,75,6.17,US,1690432239
29,naga,13.6192,123.1814,302.38,79,100,8.14,PH,1690432332
30,qaqortoq,60.7167,-46.0333,280.07,80,95,3.33,GL,1690432276
31,port mathurin,-19.6833,63.4167,296.71,80,32,7.62,MU,1690432264
32,vorgashor,67.5833,63.95,288.89,83,98,2.32,RU,1690432334
33,georgetown,5.4112,100.3354,305.11,79,20,2.57,MY,1690432109
34,olonkinbyen,70.9221,-8.7187,277.83,89,100,4.39,SJ,1690432308
35,fale old settlement,-9.3852,-171.2468,301.72,72,59,7.59,TK,1690432336
36,san juan de miraflores,-12.1629,-76.9635,292.44,86,66,3.34,PE,1690432336
37,tsetserleg,47.475,101.4542,296.36,36,33,1.76,MN,1690432337
38,hawaiian paradise park,19.5933,-154.9731,297.61,97,100,4.63,US,1690432337
39,isafjordur,66.0755,-23.124,279.84,88,96,5.18,IS,1690432269
40,waitangi,-43.9535,-176.5597,280.27,54,91,7.32,NZ,1690432250
41,marshalltown,42.0494,-92.908,299.45,85,0,0.0,US,1690432339
42,klyuchi,52.2667,79.1667,295.85,48,100,5.61,RU,1690432340
43,salahonda,2.1019,-78.7217,299.6,84,45,3.55,CO,1690432340
44,invercargill,-46.4,168.35,280.52,75,99,6.21,NZ,1690432268
45,barbastro,42.0356,0.1269,292.45,57,0,2.15,ES,1690432342
46,greenville,35.6127,-77.3663,300.12,92,0,3.09,US,1690432220
47,shingu,33.7333,135.9833,304.32,61,90,2.66,JP,1690432343
48,bilibino,68.0546,166.4372,284.49,69,100,1.39,RU,1690432238
49,copala,16.65,-98.9833,299.66,85,59,1.57,MX,1690432344
50,iskateley,67.6803,53.1512,293.89,58,90,2.44,RU,1690432268
51,iqaluit,63.7506,-68.5145,280.0,87,75,1.03,CA,1690432212
52,vila franca do campo,37.7167,-25.4333,294.38,86,3,2.26,PT,1690432009
53,fort bragg,35.139,-79.006,300.47,84,0,3.6,US,1690432346
54,port lincoln,-34.7333,135.8667,290.78,65,97,7.69,AU,1690432302
55,udachny,66.4167,112.4,295.07,40,100,3.41,RU,1690432271
56,prince rupert,54.3161,-130.3201,288.98,90,0,4.63,CA,1690432348
